id,coder_1_dss,coder_2_dss,adjudicated_dss,coder_1_mode,coder_2_mode,adjudicated_mode,dss_agreement,mode_agreement,resolution
REL_001,1,1,1,media_measurement,media_space_monitoring,media_measurement,1,0,adjudicated
REL_002,1,1,1,media_measurement,media_space_monitoring,media_space_monitoring,1,0,adjudicated
REL_003,1,1,1,media_measurement,media_measurement,media_measurement,1,1,none
REL_004,1,1,1,media_measurement,media_measurement,media_measurement,1,1,none
REL_005,1,1,1,media_measurement,media_measurement,media_measurement,1,1,none
REL_006,1,1,1,media_measurement,media_measurement,media_measurement,1,1,none
REL_007,1,1,1,media_measurement,media_measurement,media_measurement,1,1,none
REL_008,1,0,1,media_measurement,media_measurement,media_measurement,0,1,adjudicated
REL_009,0,0,0,media_measurement,media_measurement,media_measurement,1,1,none
REL_010,0,0,0,media_measurement,media_measurement,media_measurement,1,1,none
REL_011,0,0,0,media_measurement,media_measurement,media_measurement,1,1,none
REL_012,0,0,0,media_measurement,media_measurement,media_measurement,1,1,none
REL_013,0,0,0,media_space_monitoring,media_measurement,media_space_monitoring,1,0,adjudicated
REL_014,0,0,0,media_space_monitoring,media_measurement,media_measurement,1,0,adjudicated
REL_015,0,0,0,media_space_monitoring,media_space_monitoring,media_space_monitoring,1,1,none
REL_016,0,0,0,media_space_monitoring,media_space_monitoring,media_space_monitoring,1,1,none
REL_017,0,0,0,media_space_monitoring,media_space_monitoring,media_space_monitoring,1,1,none
REL_018,0,0,0,media_space_monitoring,media_space_monitoring,media_space_monitoring,1,1,none
REL_019,0,0,0,media_space_monitoring,media_space_monitoring,media_space_monitoring,1,1,none
REL_020,0,0,0,media_space_monitoring,media_space_monitoring,media_space_monitoring,1,1,none
REL_021,0,0,0,osint_data_journalism,osint_data_journalism,osint_data_journalism,1,1,none
REL_022,0,0,0,osint_data_journalism,osint_data_journalism,osint_data_journalism,1,1,none
REL_023,0,0,0,osint_data_journalism,osint_data_journalism,osint_data_journalism,1,1,none
REL_024,0,0,0,osint_data_journalism,osint_data_journalism,osint_data_journalism,1,1,none
REL_025,0,0,0,osint_data_journalism,osint_data_journalism,osint_data_journalism,1,1,none
REL_026,0,0,0,osint_data_journalism,osint_data_journalism,osint_data_journalism,1,1,none
REL_027,0,0,0,decision_support_predictive_analytics,decision_support_predictive_analytics,decision_support_predictive_analytics,1,1,none
REL_028,0,0,0,decision_support_predictive_analytics,decision_support_predictive_analytics,decision_support_predictive_analytics,1,1,none
REL_029,0,0,0,decision_support_predictive_analytics,decision_support_predictive_analytics,decision_support_predictive_analytics,1,1,none
REL_030,0,0,0,decision_support_predictive_analytics,decision_support_predictive_analytics,decision_support_predictive_analytics,1,1,none
REL_031,0,0,0,ai_native_mode,ai_native_mode,ai_native_mode,1,1,none
REL_032,0,0,0,ai_native_mode,ai_native_mode,ai_native_mode,1,1,none
REL_033,0,0,0,ai_native_mode,ai_native_mode,ai_native_mode,1,1,none
