tool_name,contour,category,weight,mode
Mediascope,Россия,Медиаизмерения,0.85,Медиаизмерения
Brand Analytics,Россия,Медиамониторинг,0.72,Мониторинг медиапространства
СКАН-Интерфакс,Россия,Медиамониторинг,0.68,Мониторинг медиапространства
Nielsen,Международный,Медиаизмерения,0.82,Медиаизмерения
Factiva,Международный,Медиамониторинг,0.64,Мониторинг медиапространства
LexisNexis,Международный,Медиамониторинг,0.61,Мониторинг медиапространства
GDELT,Международный,OSINT / Event data,0.38,OSINT и дата-журналистика
Signal AI,Международный,DSS / Predictive,0.42,Поддержка решений и предиктивная аналитика
Dataminr,Международный,DSS / Predictive,0.45,Поддержка решений и предиктивная аналитика
Талисман,Россия,DSS / ML,0.24,Поддержка решений и предиктивная аналитика
Midu,Китай,AI / Yuqing,0.56,ИИ-нативный режим
Sina Yuqing,Китай,Yuqing-мониторинг,0.52,Мониторинг медиапространства
Wisers,Китай,Yuqing-мониторинг,0.48,Поддержка решений и предиктивная аналитика
Kribrum,Россия,Медиамониторинг,0.31,Мониторинг медиапространства
Medialogia/Медиалогия,Россия,Медиамониторинг,0.28,Мониторинг медиапространства
YouScan,Россия,Социальный мониторинг,0.35,Мониторинг медиапространства
IQBuzz,Россия,Медиамониторинг,0.22,Мониторинг медиапространства
Brandwatch,Международный,Социальная аналитика,0.58,Мониторинг медиапространства
Meltwater,Международный,Медиамониторинг,0.55,Мониторинг медиапространства
Sprinklr,Международный,Enterprise CXM,0.44,Поддержка решений и предиктивная аналитика
Talkwalker,Международный,Социальная аналитика,0.4,Мониторинг медиапространства
Synthesio,Международный,Социальная аналитика,0.36,Мониторинг медиапространства
Cision,Международный,PR-аналитика,0.49,Мониторинг медиапространства
Pulsar,Международный,Аудиторная аналитика,0.33,Мониторинг медиапространства
Mention,Международный,Мониторинг упоминаний,0.26,Мониторинг медиапространства
Hootsuite Insights,Международный,Социальная аналитика,0.3,Мониторинг медиапространства
Sprout Social,Международный,Социальная аналитика,0.34,Мониторинг медиапространства
NetBase Quid,Международный,AI-аналитика,0.39,ИИ-нативный режим
Digimind,Международный,Конкурентная разведка,0.27,Мониторинг медиапространства
Agorapulse,Международный,Социальный мониторинг,0.21,Мониторинг медиапространства
Qingbo,Китай,Yuqing / Big Data,0.46,Мониторинг медиапространства
People’s Daily Yuqing,Китай,Yuqing-мониторинг,0.43,Мониторинг медиапространства
Shiwei,Китай,Yuqing-мониторинг,0.37,Мониторинг медиапространства
Zhongke Click,Китай,Yuqing / Data,0.29,Мониторинг медиапространства
Emplifi,Международный,Социальная аналитика,0.32,Мониторинг медиапространства
Khoros,Международный,CXM / Analytics,0.25,Поддержка решений и предиктивная аналитика
Reputation.com,Международный,Репутационный мониторинг,0.23,Мониторинг медиапространства
Keyhole,Международный,Hashtag / Campaign,0.19,Мониторинг медиапространства
Radian6,Международный,Социальная аналитика,0.17,Мониторинг медиапространства
Buffer Analyze,Международный,Социальная аналитика,0.15,Мониторинг медиапространства
Later,Международный,Визуальный мониторинг,0.14,Мониторинг медиапространства
Traackr,Международный,Influencer analytics,0.18,OSINT и дата-журналистика
Onalytica,Международный,Influencer Intelligence,0.16,OSINT и дата-журналистика
Инфосфера,Россия,Медиамониторинг,0.2,Мониторинг медиапространства
Постман,Россия,Медиамониторинг,0.13,Мониторинг медиапространства
Semantrum,Россия,NLP / Медиааналитика,0.12,ИИ-нативный режим
Полигон,Россия,Медиамониторинг,0.11,Мониторинг медиапространства
Dalion,Россия,Контент-аналитика,0.1,Мониторинг медиапространства
Awario,Международный,Мониторинг упоминаний,0.13,Мониторинг медиапространства
Zoho Social,Международный,Социальный мониторинг,0.11,Мониторинг медиапространства
