id,database,year,title_anonymized,authors_anonymized,language,country_segment,query_source,included_final,exclusion_reason,media_system_mentioned,dss_connection,analytical_mode,ai_component,osint_component,coder_id,notes
MED_001,google_scholar,2023,GS_2023_001,Author_A,en,international,synthetic content monitoring,1,,1,0,national_coverage,0,0,Coder_1,mentions Brand Analytics
MED_002,google_scholar,2022,GS_2022_002,Author_B,en,international,media measurement,1,,1,0,media_measurement,0,0,Coder_1,mentions Nielsen
MED_003,google_scholar,2024,GS_2024_003,Author_C,en,international,DSS predictive analytics,1,,1,1,support_predictive,1,0,Coder_2,mentions Signal AI with decision support
MED_004,google_scholar,2021,GS_2021_004,Author_D,en,international,media monitoring,1,,1,0,national_coverage,0,0,Coder_1,mentions Factiva
MED_005,google_scholar,2023,GS_2023_005,Author_E,en,international,OSINT media,1,,0,0,osint_data_journalism,0,1,Coder_2,GDELT event data analysis
MED_006,rinc,2022,RIN_2022_006,Author_F,ru,russian,media monitoring,1,,1,0,national_coverage,0,0,Coder_1,mentions Brand Analytics
MED_007,rinc,2023,RIN_2023_007,Author_G,ru,russian,media measurement,1,,1,0,media_measurement,0,0,Coder_1,mentions Mediascope
MED_008,rinc,2024,RIN_2024_008,Author_H,ru,russian,decision support,1,,1,1,support_predictive,1,0,Coder_3,mentions Талисман with prediction
MED_009,rinc,2021,RIN_2021_009,Author_I,ru,russian,media monitoring,1,,1,0,national_coverage,0,0,Coder_1,mentions СКАН-Интерфакс
MED_010,rinc,2023,RIN_2023_010,Author_J,ru,russian,sentiment analysis,1,,0,0,national_coverage,0,0,Coder_2,no system mentioned
MED_011,cnki,2022,CN_2022_011,Author_K,zh,chinese,舆情监测,1,,1,0,national_coverage,0,0,Coder_3,mentions 新浪舆情
MED_012,cnki,2023,CN_2023_012,Author_L,zh,chinese,舆情分析,1,,1,1,support_predictive,1,0,Coder_2,mentions 舆情 with DSS
MED_013,cnki,2024,CN_2024_013,Author_M,zh,chinese,大数据舆情,1,,1,1,ai_native,1,0,Coder_3,mentions Midu / 蜜度
MED_014,cnki,2021,CN_2021_014,Author_N,zh,chinese,媒体分析,1,,1,0,national_coverage,0,0,Coder_1,general media analytics
MED_015,cnki,2023,CN_2023_015,Author_O,zh,chinese,舆情预警,1,,1,1,support_predictive,0,0,Coder_2,early warning system
MED_016,google_scholar,2021,GS_2021_016,Author_P,en,international,media intelligence,1,,1,0,national_coverage,0,0,Coder_1,mentions LexisNexis
MED_017,google_scholar,2022,GS_2022_017,Author_Q,en,international,AI media analytics,1,,1,1,ai_native,1,0,Coder_3,mentions Dataminr AI
MED_018,google_scholar,2024,GS_2024_018,Author_R,en,international,risk intelligence,1,,1,1,support_predictive,0,0,Coder_2,mentions Dataminr
MED_019,google_scholar,2023,GS_2023_019,Author_S,en,international,social listening,1,,1,0,national_coverage,0,0,Coder_1,mentions Brandwatch
MED_020,google_scholar,2022,GS_2022_020,Author_T,en,international,media monitoring,1,,1,0,national_coverage,0,0,Coder_1,mentions Meltwater
MED_021,rinc,2024,RIN_2024_021,Author_U,ru,russian,AI media monitoring,1,,1,0,ai_native,1,0,Coder_3,mentions Semantrum
MED_022,rinc,2023,RIN_2023_022,Author_V,ru,russian,media coverage,1,,1,0,national_coverage,0,0,Coder_1,mentions Kribrum
MED_023,rinc,2022,RIN_2022_023,Author_W,ru,russian,data journalism,1,,0,0,osint_data_journalism,0,0,Coder_2,general data journalism
MED_024,rinc,2021,RIN_2021_024,Author_X,ru,russian,media metrics,1,,0,0,media_measurement,0,0,Coder_1,no specific system
MED_025,cnki,2024,CN_2024_025,Author_Y,zh,chinese,舆情平台,1,,1,0,national_coverage,0,0,Coder_2,mentions 慧科 Wisers
