tool_name,contour,category,weight,mode
Mediascope,Россия,Медиаизмерения,0.85,Медиаизмерения
Brand Analytics,Россия,Медиамониторинг,0.72,Национальное медиапокрытие
СКАН-Интерфакс,Россия,Медиамониторинг,0.68,Национальное медиапокрытие
Nielsen,Международный,Медиаизмерения,0.82,Медиаизмерения
Factiva,Международный,Медиамониторинг,0.64,Национальное медиапокрытие
LexisNexis,Международный,Медиамониторинг,0.61,Национальное медиапокрытие
GDELT,Международный,OSINT / Event data,0.38,OSINT / data journalism
Signal AI,Международный,DSS / Predictive,0.42,Support / predictive analytics
Dataminr,Международный,DSS / Predictive,0.45,Support / predictive analytics
Талисман (ИСП РАН),Россия,DSS / ML,0.24,Support / predictive analytics
Midu (蜜度),Китай,AI / Yuqing,0.56,AI-native layer
Sina Yuqing (新浪舆情),Китай,Yuqing-мониторинг,0.52,Национальное медиапокрытие
Wisers (慧科),Китай,Yuqing-мониторинг,0.48,Support / predictive analytics
Kribrum,Россия,Медиамониторинг,0.31,Национальное медиапокрытие
Medialogia,Россия,Медиамониторинг,0.28,Национальное медиапокрытие
YouScan,Россия,Социальный мониторинг,0.35,Национальное медиапокрытие
IQBuzz,Россия,Медиамониторинг,0.22,Национальное медиапокрытие
Brandwatch,Международный,Социальная аналитика,0.58,Национальное медиапокрытие
Meltwater,Международный,Медиамониторинг,0.55,Национальное медиапокрытие
Sprinklr,Международный,Enterprise CXM,0.44,Support / predictive analytics
Talkwalker (Hootsuite),Международный,Социальная аналитика,0.40,Национальное медиапокрытие
Synthesio (Ipsos),Международный,Социальная аналитика,0.36,Национальное медиапокрытие
Cision,Международный,PR-аналитика,0.49,Национальное медиапокрытие
Pulsar,Международный,Аудиторная аналитика,0.33,Национальное медиапокрытие
Mention,Международный,Мониторинг упоминаний,0.26,Национальное медиапокрытие
Hootsuite Insights,Международный,Социальная аналитика,0.30,Национальное медиапокрытие
Sprout Social,Международный,Социальная аналитика,0.34,Национальное медиапокрытие
NetBase Quid,Международный,AI-аналитика,0.39,AI-native layer
Digimind,Международный,Конкурентная разведка,0.27,Национальное медиапокрытие
Agorapulse,Международный,Социальный мониторинг,0.21,Национальное медиапокрытие
Qingbo (清博大数据),Китай,Yuqing / Big Data,0.46,Национальное медиапокрытие
People's Daily Yuqing (人民网舆情),Китай,Yuqing-мониторинг,0.43,Национальное медиапокрытие
Shiwei (识微),Китай,Yuqing-мониторинг,0.37,Национальное медиапокрытие
Zhongke Click (中科点击),Китай,Yuqing / Data,0.29,Национальное медиапокрытие
Emplifi (ex-Socialbakers),Международный,Социальная аналитика,0.32,Национальное медиапокрытие
Khoros,Международный,CXM / Analytics,0.25,Support / predictive analytics
Reputation.com,Международный,Репутационный мониторинг,0.23,Национальное медиапокрытие
Keyhole,Международный,Hashtag / Campaign,0.19,Национальное медиапокрытие
Radian6 (Salesforce),Международный,Социальная аналитика,0.17,Национальное медиапокрытие
Buffer Analyze,Международный,Социальная аналитика,0.15,Национальное медиапокрытие
Later,Международный,Визуальный мониторинг,0.14,Национальное медиапокрытие
Traackr,Международный,Influencer analytics,0.18,OSINT / data journalism
Onalytica,Международный,Influencer Intelligence,0.16,OSINT / data journalism
Инфосфера,Россия,Медиамониторинг,0.20,Национальное медиапокрытие
Постман (Постман аналитика),Россия,Медиамониторинг,0.13,Национальное медиапокрытие
Мониторинг СМИ (Медиалогия),Россия,Медиамониторинг,0.18,Национальное медиапокрытие
Semantrum,Россия,NLP / Медиааналитика,0.12,AI-native layer
Полигон,Россия,Медиамониторинг,0.11,Национальное медиапокрытие
Dalion,Россия,Контент-аналитика,0.10,Национальное медиапокрытие
Мегаплан (медиа-модуль),Россия,CRM + Медиа,0.09,Support / predictive analytics
Awario,Международный,Мониторинг упоминаний,0.13,Национальное медиапокрытие
Zoho Social,Международный,Социальный мониторинг,0.11,Национальное медиапокрытие
